id;email;id_univer;id_educ_type;faculty;specialty;specialization;start_year;end_year
1;Paula.Schneider@yahoo.com;38157;Tools;function;Home Loan Account Virginia blue;transmitter Cross-group;10448;23752
2;Judah54@gmail.com;83405;Ergonomic;connecting;synthesize Refined Frozen Chicken grey;Director;45353;92422
3;Lelia.Kreiger@gmail.com;58372;calculating;FTP;adapter Andorra;Facilitator;88955;46795
4;Kristian.Tremblay@yahoo.com;37065;target functionalities Incredible;Officer;Distributed SDD;transmit Metal;7272;57216
5;Damion52@yahoo.com;62760;hybrid Nebraska;PNG;Avon Analyst;24/7 Officer;96304;50093
6;Jacinthe29@hotmail.com;66192;payment Accountability;Administrator secured line;Romania strategic;Toys content Ball;20564;62735
7;Donny_Robel@yahoo.com;12039;Utah;San Marino;online Libyan Arab Jamahiriya Senior;efficient;4328;85600
8;Sheldon_Buckridge@yahoo.com;44217;SQL Directives;Incredible Savings Account;deposit Crest project;hard drive Enhanced quantify;18627;99807
9;Crawford91@yahoo.com;29581;Soft;Shoes Kentucky Keyboard;Paradigm;feed virtual;78924;19630
10;Rachael_Wisozk95@yahoo.com;62109;generating card;Investment Account Mountain;capacitor;Indonesia Buckinghamshire;44911;50233
