id;email;id_certificate;start_dt;end_dt
1;Abraham_Dicki@yahoo.com;94546;2020-11-05T16:51:55;2020-11-05T15:46:45
2;Mathilde7@yahoo.com;74518;2020-11-06T08:41:02;2020-11-06T02:42:53
3;Cruz_Schowalter3@hotmail.com;36815;2020-11-06T10:23:58;2020-11-06T08:52:22
4;Coy.McCullough@yahoo.com;50278;2020-11-05T14:58:14;2020-11-06T08:31:32
5;Madyson.Klein98@hotmail.com;70323;2020-11-06T02:48:35;2020-11-05T19:28:11
6;Janie_Parisian@hotmail.com;27746;2020-11-05T19:27:03;2020-11-06T07:44:28
7;Lucius_Hauck50@hotmail.com;84773;2020-11-05T17:50:15;2020-11-05T19:57:48
8;Aidan.Hoeger@yahoo.com;83054;2020-11-06T06:21:08;2020-11-05T16:55:00
9;Alycia.Fadel@hotmail.com;53536;2020-11-06T03:06:43;2020-11-05T15:21:15
10;Donavon_Wolff@hotmail.com;16853;2020-11-05T13:11:51;2020-11-06T10:36:56
