id;email;id_project;id_role;responsibility_nm;start_dt;end_dt
1;Germaine81@yahoo.com;44839;22100;scalable Personal Loan Account;2020-11-05T17:40:42;2020-11-05T20:25:03
2;Alaina70@yahoo.com;77064;93379;auxiliary;2020-11-05T12:38:48;2020-11-05T14:32:28
3;Reymundo.Daugherty@gmail.com;10989;14897;Representative lime;2020-11-06T08:43:59;2020-11-06T03:51:37
4;Edwina.Eichmann@gmail.com;58000;35351;Assurance Delaware;2020-11-06T00:24:10;2020-11-06T10:19:11
5;Coty22@yahoo.com;8647;18039;Armenia;2020-11-05T21:25:11;2020-11-06T11:43:27
6;Krystel_Schmidt@hotmail.com;37848;91092;Games Money Market Account Massachusetts;2020-11-05T21:39:52;2020-11-05T12:05:24
7;Adrian_Brekke25@hotmail.com;57995;75405;feed;2020-11-05T12:24:06;2020-11-05T14:59:03
8;Fausto66@hotmail.com;99313;563;JBOD;2020-11-06T09:25:56;2020-11-06T01:35:26
9;Lucinda.Treutel@yahoo.com;35846;68537;navigating transmitter British Indian Ocean Territory (Chagos Archipelago);2020-11-06T00:31:26;2020-11-06T02:01:17
10;Archibald11@hotmail.com;17392;75369;transmitting ADP architectures;2020-11-05T18:47:27;2020-11-06T10:09:38
